"FileName","FileType","DetectDate","Notes","LabComments","LabStatus","SubDate","Latitude","Longitude"
"ATT1000_A5A50BAB-A6EF-4576-A1F8-A07862AADE3A.jpg","image/jpg","2020-07-18","Discovered dogs playing with it in the grass and stepped on it before they could be stung. It looked unlike any other bee or hornet I have ever seen around here.","It is really hard to tell, but the wings look a lot like a Cicada. It definitely is not the Asian giant hornet.","Negative ID","2020-07-18","45.697513","-122.574534"
"ATT1001_8B9F8599-61EF-4690-B195-888BCD319F32.png","image/png","2020-07-18","I reported this yesterday but here are better pictures","Cicada killer. ","Negative ID","2020-07-18","46.578382","-120.406884"
"ATT1002_7DFE65D0-B77A-4C7F-8849-685CEA02E862.jpg","image/jpg","2020-07-18","Sun targets in Moxee","Golden digger wasp. ","Negative ID","2020-07-18","46.501071","-120.21944"
"ATT1003_20200718_151437.jpg","image/jpg","2020-07-18","Found this guy dead in my grass. And have seen at least one other like it buzzing around today.","Cicada killer. ","Negative ID","2020-07-18","47.709926","-118.92735"
"ATT1004_Killer Hornet 2020-07-18 1.jpg","image/jpg","2020-07-18","It was laying by back sliding door, right in front of my doggie door. Was laying there, just barely moving. It had not been there in the morning when I watered.","That's a harmless ten lined June bug beetle.","Negative ID","2020-07-18","46.729547","-122.99379"
"ATT1005_Killer Hornet 2020-07-18 2.jpg","image/jpg","2020-07-18","It was laying by back sliding door, right in front of my doggie door. Was laying there, just barely moving. It had not been there in the morning when I watered.","That's a harmless ten lined June bug beetle.","Negative ID","2020-07-18","46.729547","-122.99379"
"ATT1006_IMG_20200718_164909.jpg","image/jpg","2020-07-18","Flying pool side near condos in Lake Chelan, WA","Cicada killer. ","Negative ID","2020-07-18","47.836535","-120.052964"
"ATT1007_IMG_20200718_164728.jpg","image/jpg","2020-07-18","Flying pool side near condos in Lake Chelan, WA","Cicada killer. ","Negative ID","2020-07-18","47.836535","-120.052964"
"ATT1008_IMG_20200718_164758.jpg","image/jpg","2020-07-18","Flying pool side near condos in Lake Chelan, WA","Cicada killer. ","Negative ID","2020-07-18","47.836535","-120.052964"
"ATT1009_IMG_20200718_164951.jpg","image/jpg","2020-07-18","Flying pool side near condos in Lake Chelan, WA","Cicada killer. ","Negative ID","2020-07-18","47.836535","-120.052964"
"ATT1010_IMG_14331.jpg","image/jpg","2020-07-19","Found this alive on a railroad tie right by a bee nest.","That's a female horntail sawfly. Please don't kill them.  /bgimage","Negative ID","2020-07-19","47.299773","-122.371256"
